이름,이미지링크
짱구,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB4NAZq4D2sYIzoUUXHrMnYefiPy9-hgICOeeLOCpULOiYl65j-JHGaG--B38XV9aPLCk&usqp=CAU
이효리,https://post-phinf.pstatic.net/MjAxODAzMDJfMjY4/MDAxNTE5OTgwMjM1MDQw.pOom3Uq3TuAq_RI-e0MJtsG7zobNHNK54pzOcIMY2zkg.LKoRys3NocCoi4OeeNKhzhgxWq0sXMbPwqXggEgPqTIg.JPEG/%EC%9D%B4%ED%9A%A8%EB%A6%AC_%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85.jpg?type=w1200
백종원,https://jjalbang.today/files/jjalboxthumb/2017/12/102_6646.jpg
박명수,https://i.pinimg.com/736x/96/f7/24/96f724d48c03a0f78285aba544a6ce94.jpg
이광수,https://t1.daumcdn.net/news/202105/25/sbsnoriter/20210525083016141bhfn.jpg
주우재,https://isplus.com/data/isp/image/2023/01/24/isp20230124000035.600x.0.jpg
오수,https://s3.orbi.kr/data/file/united/03499086111ad5bfeddb6bb1647102c7.jpeg
루피,https://blog.kakaocdn.net/dn/GSMWD/btqN2VizE6T/04gMt7YXNvrXnTpaoykbp0/img.jpg
이영지,https://pbs.twimg.com/profile_images/1445377282189578243/X_1X9b5W_400x400.jpg
안유진,https://image.yes24.com/images/chyes24/froala/0/46566/49370.jpeg
흰둥이,https://postfiles.pstatic.net/MjAyMzAxMjlfMjQ2/MDAxNjc0OTg5MDc3NjE3.YmaR55GamuaCulubcoVoekV3s_ORcV1i4gblRxIWY4Mg.Fowd-HL3q8bjNTbWLtCVaRebnQ6seowUN3XXJMS4pvYg.JPEG.wonnieday/IMG_5128.jpg?type=w966
